Original Text,Translated Text,x,y,w,h
３７,37,110,1512,35,18
ノルンも,"Norn, too.",189,1288,22,109
引きこもったままになってしまう,I'm going to stay cooped up.,84,1286,92,168
多分,overweight,396,1281,26,58
ここで引いたらもう戻ってこられない,"If you pull out here, there's no coming back.",280,1234,94,193
！！,!,722,919,31,26
．．．,The...,721,498,31,46
あれ以降兄貴は来なかった,My brother never came after that.,408,426,60,221
いろんな奴は来たが兄貴は来なかった,"All kinds of guys came, but not my brother.",78,426,73,250
こんな気持ちだったのか,This is how you felt.,78,90,60,166
へ,へ,270,48,68,35
．．．あのときの兄貴は、,"... . My brother at that time,",465,47,24,276
