Original Text,Translated Text
．．．,The...
．．,The ...
あ．．．,Ah...
ノルンは俺のせいで引きこもったんだし．．．,Norn was shut in because of me ... .
どうもこうも,no matter how it may be
ないよ,There isn't.
♪,♪
これからどうするのルディ？,"What are you going to do now, Rudy?"
．．．,The...
モンペ通り越してただの馬鹿だ,"He's just an idiot, past all the mampees."
そうは言ってもひとり早とちって妹の教室まで行って．．．,"That said, I did take a hasty retreat to my sister's classroom ..."
．．．,The...
んー,grunting
そういうことは、海外科学生は日本からのアニメニューショックでした。,Such was the animenu shock for the foreign science students from Japan.
．．．,The...
よ,よ
！,！
ちょっと意外で見直したの,It's a little surprising. I've been reviewing it.
そうなの,Okay.
妹のために動くことは恥ずかしいことじゃないニャ,There is no shame in working for your sister.
ージを,gage.
！！,!
ノ,ノ
シルフィも,"Sylphy, too."
の作品へ応援のメッセージ,Message of support for the work of
・,・
さっきも部屋まで行ったけど全然応えてもらえなくて．．．,"I went to his room earlier, but he didn't respond at all ... ."
ふたりとも今日はありがとう,Thank you both for today.
．．．,The...
ごめん寮でのノルンちゃんのことは任せてって言ったのに．．．,"Sorry, I said I would take care of Norn-chan in the dormitory ... ."
月刊コミック,monthly comic book
スラックと,Slack and
